Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,2016-07-30,False,False,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201 - Lawler vs. Woodley,7/30/2016,,7/30/2016,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201
Saturday,2016-07-23,False,False,UFC on Fox: Holm vs. Shevchenko,7/23/2016,UFC on Fox: Holm vs. Shevchenko,7/23/2016,UFC Fight Night - Holm vs Shevchenko,7/23/2016,UFC on Fox 20 - Holm vs. Shevchenko,7/23/2016,UFC Fight Night: Holm vs. Shevchenko,7/23/2016,UFC on FOX 20
Wednesday,2016-07-13,False,False,UFC Fight Night: McDonald vs. Lineker,7/13/2016,UFC Fight Night: McDonald vs. Lineker,7/13/2016,UFC Fight Night - McDonald vs Lineker,7/13/2016,,7/13/2016,UFC Fight Night: McDonald vs. Lineker,7/13/2016,"UFC Fight Night 91, results"
Saturday,2016-07-09,False,False,UFC 200: Tate vs. Nunes,7/9/2016,UFC 200: Tate vs. Nunes,7/9/2016,UFC 200 - Tate vs Nunes,7/9/2016,UFC 200 - Tate vs. Nunes,7/9/2016,UFC 200: Tate vs Nunes,7/9/2016,UFC 200
Friday,2016-07-08,False,False,The Ultimate Fighter: Team Joanna vs. Team Cludia Finale,7/8/2016,The Ultimate Fighter: Team Joanna vs. Team Cludia Finale,7/8/2016,The Ultimate Fighter Finale - Team Joanna vs. Team Claudia,7/8/2016,,7/8/2016,The Ultimate Fighter 23 Finale,7/8/2016,TUF 23 Finale
Thursday,2016-07-07,False,False,UFC Fight Night: dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night: dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night - Dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night 90 - Dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night: Dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night 90
Saturday,2016-06-18,False,False,UFC Fight Night: MacDonald vs. Thompson,6/18/2016,UFC Fight Night: MacDonald vs. Thompson,6/18/2016,UFC Fight Night - MacDonald vs. Thompson,6/18/2016,,6/18/2016,UFC Fight Night: MacDonald vs Thompson,6/18/2016,UFC Fight Night 89
Saturday,2016-06-04,False,False,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199 - Rockhold vs. Bisping 2,6/4/2016,UFC 199 - Rockhold vs. Bisping 2,6/4/2016,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199
Sunday,2016-05-29,False,False,UFC Fight Night: Almeida vs. Garbrandt,5/29/2016,UFC Fight Night: Almeida vs. Garbrandt,5/29/2016,UFC Fight Night - Almeida vs. Garbrandt,5/29/2016,,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,5/29/2016,UFC Fight Night 88
Saturday,2016-05-14,False,False,UFC 198: Werdum vs. Miocic,5/14/2016,UFC 198: Werdum vs. Miocic,5/14/2016,UFC 198 - Werdum vs. Miocic,5/14/2016,UFC 198 - Werdum vs. Miocic,5/14/2016,UFC 198: Werdum vs Miocic,5/14/2016,UFC 198
Sunday,2016-05-08,False,False,UFC Fight Night: Overeem vs. Arlovski,5/8/2016,UFC Fight Night: Overeem vs. Arlovski,5/8/2016,UFC Fight Night - Overeem vs. Arlovski,5/8/2016,,5/8/2016,UFC Fight Night: Overeem vs Arlovski,5/8/2016,UFC Fight Night 87
Saturday,2016-04-23,False,False,UFC 197: Jones vs. Saint Preux,4/23/2016,UFC 197: Jones vs. Saint Preux,4/23/2016,UFC 197 - Jones vs. Saint Preux,4/23/2016,UFC 197 - Jones vs. St. Preux,4/23/2016,UFC 197: Jones vs Saint Preux,4/23/2016,UFC 197
Saturday,2016-04-16,False,False,UFC on Fox: Teixeira vs. Evans,4/16/2016,UFC on Fox: Teixeira vs. Evans,4/16/2016,UFC Fight Night - Teixeira vs. Evans,4/16/2016,,4/16/2016,UFC Fight Night: Teixeira vs Evans,4/16/2016,UFC on FOX 19
Sunday,2016-04-10,False,False,UFC Fight Night: Rothwell vs. dos Santos,4/10/2016,UFC Fight Night: Rothwell vs. dos Santos,4/10/2016,UFC Fight Night - Rothwell vs. Dos Santos,4/10/2016,UFC Fight Night 86 - Rothwell vs. Dos Santos,4/10/2016,UFC Fight Night: Rothwell vs Dos Santos,4/10/2016,UFC Fight Night 86
Saturday,2016-03-19,False,False,UFC Fight Night: Hunt vs. Mir,3/20/2016,UFC Fight Night: Hunt vs. Mir,3/19/2016,UFC Fight Night - Hunt vs. Mir,3/19/2016,,3/19/2016,UFC Fight Night: Hunt vs Mir,3/19/2016,UFC Fight Night 85
Saturday,2016-03-05,False,False,UFC 196: McGregor vs. Diaz,3/5/2016,UFC 196: McGregor vs. Diaz,3/5/2016,UFC 196 - McGregor vs. Diaz,3/5/2016,UFC 196 - McGregor vs. Diaz,3/5/2016,UFC 196: McGregor vs Diaz,3/5/2016,UFC 196
