Event,Date,Division,Weightclass,Fight Number,Fighter,Result,Opponent,Method,Round,Time,Location,Venue,Attendance,Url
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,9,Merab Dvalishvili,loss,Frankie Saenz,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,10,Alejandro Prez,win,Iuri Alcntara,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,10,Iuri Alcntara,loss,Alejandro Prez,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Lightweight,155.0,11,Davi Ramos,win,Chris Gruetzemacher,Submission (rear-naked choke),3,0:50,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Lightweight,155.0,11,Chris Gruetzemacher,loss,Davi Ramos,Submission (rear-naked choke),3,0:50,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Middleweight,185.0,12,Trevin Giles,win,Antnio Braga Neto,KO (punches),3,2:27,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Middleweight,185.0,12,Antnio Braga Neto,loss,Trevin Giles,KO (punches),3,2:27,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC 218: Holloway vs. Aldo 2,2017-12-02,Featherweight,145.0,0,Max Holloway,win,Jos Aldo,TKO (punches),3,4:51,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Featherweight,145.0,0,Jos Aldo,loss,Max Holloway,TKO (punches),3,4:51,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Heavyweight,265.0,1,Francis Ngannou,win,Alistair Overeem,KO (punch),1,1:42,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Heavyweight,265.0,1,Alistair Overeem,loss,Francis Ngannou,KO (punch),1,1:42,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Flyweight,125.0,2,Henry Cejudo,win,Sergio Pettis,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Flyweight,125.0,2,Sergio Pettis,loss,Henry Cejudo,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Lightweight,155.0,3,Eddie Alvarez,win,Justin Gaethje,TKO (knee and punches),3,3:59,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Lightweight,155.0,3,Justin Gaethje,loss,Eddie Alvarez,TKO (knee and punches),3,3:59,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Women's Strawweight,115.0,4,Tecia Torres,win,Michelle Waterson,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Women's Strawweight,115.0,4,Michelle Waterson,loss,Tecia Torres,"Decision (unanimous) (30-27, 29-28, 29-28)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Lightweight,155.0,5,Paul Felder,win,Charles Oliveira,TKO (elbows),2,4:06,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Lightweight,155.0,5,Charles Oliveira,loss,Paul Felder,TKO (elbows),2,4:06,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Welterweight,170.0,6,Yancy Medeiros,win,Alex Oliveira,TKO (punches),3,2:02,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Welterweight,170.0,6,Alex Oliveira,loss,Yancy Medeiros,TKO (punches),3,2:02,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Lightweight,155.0,7,David Teymur,win,Drakkar Klose,"Decision (unanimous) (30-27, 30-27, 29-28)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Lightweight,155.0,7,Drakkar Klose,loss,David Teymur,"Decision (unanimous) (30-27, 30-27, 29-28)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Women's Strawweight,115.0,8,Felice Herrig,win,Cortney Casey,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Women's Strawweight,115.0,8,Cortney Casey,loss,Felice Herrig,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Women's Strawweight,115.0,9,Amanda Bobby Cooper,win,Angela Magaa,TKO (punches),2,4:34,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Women's Strawweight,115.0,9,Angela Magaa,loss,Amanda Cooper,TKO (punches),2,4:34,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Welterweight,170.0,10,Abdul Razak Alhassan,win,Sabah Homasi,TKO (punches),1,4:21,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Welterweight,170.0,10,Sabah Homasi,loss,Abdul Razak Alhassan,TKO (punches),1,4:21,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Light Heavyweight,205.0,11,Dominick Reyes,win,Jeremy Kimball,Submission (rear-naked choke),1,3:39,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Light Heavyweight,205.0,11,Jeremy Kimball,loss,Dominick Reyes,Submission (rear-naked choke),1,3:39,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
UFC 218: Holloway vs. Aldo 2,2017-12-02,Heavyweight,265.0,12,Justin Willis,win,Allen Crowder,KO (punch),1,2:33,"Detroit, Michigan, U.S.",Little Caesars Arena,17587.0,https://en.wikipedia.org/wiki/UFC_218
