Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
The Ultimate Fighter 26 Finale,2017-12-01,10,Women's Flyweight,125,Gillian Robertson,Emily Whitmire,win,SUB  Armbar,1,2:12,2,1,1,2,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,10,Women's Flyweight,125,Emily Whitmire,Gillian Robertson,loss,SUB  Armbar,1,2:12,9,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,0,Middleweight,185,Kelvin Gastelum,Michael Bisping,win,KO/TKO  Punch,1,2:30,14,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,0,Middleweight,185,Michael Bisping,Kelvin Gastelum,loss,KO/TKO  Punch,1,2:30,7,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,1,Welterweight,170,Li Jingliang,Zak Ottow,win,KO/TKO  Punches,1,2:57,26,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,1,Welterweight,170,Zak Ottow,Li Jingliang,loss,KO/TKO  Punches,1,2:57,5,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,2,Featherweight,145,Wang Guan,Alex Caceres,win,S-DEC,3,5:00,71,0,0,1,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,2,Featherweight,145,Alex Caceres,Wang Guan,loss,S-DEC,3,5:00,49,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,3,Welterweight,170,Alex Garcia,Muslim Salikhov,win,SUB  Rear Naked Choke,2,3:22,6,3,1,3,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,3,Welterweight,170,Muslim Salikhov,Alex Garcia,loss,SUB  Rear Naked Choke,2,3:22,10,0,0,2,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,4,Featherweight,145,Zabit Magomedsharipov,Sheymon Moraes,win,SUB  Anaconda Choke,3,4:30,34,11,1,10,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,4,Featherweight,145,Sheymon Moraes,Zabit Magomedsharipov,loss,SUB  Anaconda Choke,3,4:30,18,0,0,1,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,5,Welterweight,170,Bobby Nash,Song Kenan,loss,KO/TKO  Punches,1,0:15,1,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,5,Welterweight,170,Song Kenan,Bobby Nash,win,KO/TKO  Punches,1,0:15,14,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,6,Women's Strawweight,115,Kailin Curran,Yan Xiaonan,loss,U-DEC,3,5:00,52,2,0,2,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,6,Women's Strawweight,115,Yan Xiaonan,Kailin Curran,win,U-DEC,3,5:00,96,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,7,Featherweight,145,Bharat Kandare,Song Yadong,loss,SUB  Guillotine Choke,1,4:16,3,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,7,Featherweight,145,Song Yadong,Bharat Kandare,win,SUB  Guillotine Choke,1,4:16,8,0,1,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,8,Heavyweight,265,Chase Sherman,Shamil Abdurakhimov,loss,KO/TKO  Punches,1,1:24,5,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,8,Heavyweight,265,Shamil Abdurakhimov,Chase Sherman,win,KO/TKO  Punches,1,1:24,6,0,0,0,http://www.fightmetric.com/event-details/e7bc606d269896aa
