WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,Kelvin Gastelum,14,0,0,0,Middleweight,KO/TKO  Punch,1,2:30,Kelvin Gastelum vs. Michael Bisping,0,Michael Bisping,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Michael Bisping,7,0,0,0,Middleweight,KO/TKO  Punch,1,2:30,Kelvin Gastelum vs. Michael Bisping,0,Kelvin Gastelum,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Li Jingliang,26,0,0,0,Welterweight,KO/TKO  Punches,1,2:57,Li Jingliang vs. Zak Ottow,1,Zak Ottow,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Zak Ottow,5,0,0,0,Welterweight,KO/TKO  Punches,1,2:57,Li Jingliang vs. Zak Ottow,1,Li Jingliang,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Wang Guan,71,0,0,1,Featherweight,S-DEC,3,5:00,Wang Guan vs. Alex Caceres,2,Alex Caceres,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Alex Caceres,49,0,0,0,Featherweight,S-DEC,3,5:00,Wang Guan vs. Alex Caceres,2,Wang Guan,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Alex Garcia,6,3,1,3,Welterweight,SUB  Rear Naked Choke,2,3:22,Alex Garcia vs. Muslim Salikhov,3,Muslim Salikhov,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Muslim Salikhov,10,0,0,2,Welterweight,SUB  Rear Naked Choke,2,3:22,Alex Garcia vs. Muslim Salikhov,3,Alex Garcia,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Zabit Magomedsharipov,34,11,1,10,Featherweight,SUB  Anaconda Choke,3,4:30,Zabit Magomedsharipov vs. Sheymon Moraes,4,Sheymon Moraes,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Sheymon Moraes,18,0,0,1,Featherweight,SUB  Anaconda Choke,3,4:30,Zabit Magomedsharipov vs. Sheymon Moraes,4,Zabit Magomedsharipov,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Bobby Nash,1,0,0,0,Welterweight,KO/TKO  Punches,1,0:15,Song Kenan vs. Bobby Nash,5,Song Kenan,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Song Kenan,14,0,0,0,Welterweight,KO/TKO  Punches,1,0:15,Song Kenan vs. Bobby Nash,5,Bobby Nash,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Kailin Curran,52,2,0,2,Women's Strawweight,U-DEC,3,5:00,Yan Xiaonan vs. Kailin Curran,6,Yan Xiaonan,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Yan Xiaonan,96,0,0,0,Women's Strawweight,U-DEC,3,5:00,Yan Xiaonan vs. Kailin Curran,6,Kailin Curran,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Bharat Kandare,3,0,0,0,Featherweight,SUB  Guillotine Choke,1,4:16,Song Yadong vs. Bharat Kandare,7,Song Yadong,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Song Yadong,8,0,1,0,Featherweight,SUB  Guillotine Choke,1,4:16,Song Yadong vs. Bharat Kandare,7,Bharat Kandare,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Chase Sherman,5,0,0,0,Heavyweight,KO/TKO  Punches,1,1:24,Shamil Abdurakhimov vs. Chase Sherman,8,Shamil Abdurakhimov,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Shamil Abdurakhimov,6,0,0,0,Heavyweight,KO/TKO  Punches,1,1:24,Shamil Abdurakhimov vs. Chase Sherman,8,Chase Sherman,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Wu Yanan,22,1,0,1,Women's Bantamweight,U-DEC,3,5:00,Gina Mazany vs. Wu Yanan,9,Gina Mazany,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Gina Mazany,38,5,0,1,Women's Bantamweight,U-DEC,3,5:00,Gina Mazany vs. Wu Yanan,9,Wu Yanan,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Wuliji Buren,17,4,0,2,Featherweight,U-DEC,3,5:00,Rolando Dy vs. Wuliji Buren,10,Rolando Dy,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Rolando Dy,26,0,0,1,Featherweight,U-DEC,3,5:00,Rolando Dy vs. Wuliji Buren,10,Wuliji Buren,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Cyril Asker,20,4,1,3,Heavyweight,SUB  Rear Naked Choke,2,2:33,Cyril Asker vs. Hu Yaozong,11,Hu Yaozong,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
loss,Hu Yaozong,8,0,1,0,Heavyweight,SUB  Rear Naked Choke,2,2:33,Cyril Asker vs. Hu Yaozong,11,Cyril Asker,2017-11-25,UFC Fight Night: Bisping vs. Gastelum
win,Fabricio Werdum,155,1,0,2,Heavyweight,U-DEC,5,5:00,Fabricio Werdum vs. Marcin Tybura,0,Marcin Tybura,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Marcin Tybura,127,1,0,0,Heavyweight,U-DEC,5,5:00,Fabricio Werdum vs. Marcin Tybura,0,Fabricio Werdum,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Jessica Rose-Clark,101,2,1,3,Women's Flyweight,S-DEC,3,5:00,Jessica-Rose Clark vs. Bec Rawlings,1,Bec Rawlings,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Bec Rawlings,65,2,1,2,Women's Flyweight,S-DEC,3,5:00,Jessica-Rose Clark vs. Bec Rawlings,1,Jessica-Rose Clark,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Belal Muhammad,88,1,0,1,Welterweight,S-DEC,3,5:00,Belal Muhammad vs. Tim Means,2,Tim Means,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Tim Means,91,0,0,0,Welterweight,S-DEC,3,5:00,Belal Muhammad vs. Tim Means,2,Belal Muhammad,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Jake Matthews,20,4,0,4,Welterweight,S-DEC,3,5:00,Jake Matthews vs. Bojan Velickovic,3,Bojan Velickovic,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Bojan Velickovic,24,1,1,3,Welterweight,S-DEC,3,5:00,Jake Matthews vs. Bojan Velickovic,3,Jake Matthews,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Elias Theodorou,118,0,0,0,Middleweight,U-DEC,3,5:00,Elias Theodorou vs. Daniel Kelly,4,Daniel Kelly,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Daniel Kelly,42,2,1,1,Middleweight,U-DEC,3,5:00,Elias Theodorou vs. Daniel Kelly,4,Elias Theodorou,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Alexander Volkanovski,68,5,0,9,Catch Weight,U-DEC,3,5:00,Alexander Volkanovski vs. Shane Young,5,Shane Young,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Shane Young,18,1,0,1,Catch Weight,U-DEC,3,5:00,Alexander Volkanovski vs. Shane Young,5,Alexander Volkanovski,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Ashkan Mokhtarian,42,0,0,0,Flyweight,KO/TKO  Kick,3,2:38,Ryan Benoit vs. Ashkan Mokhtarian,6,Ryan Benoit,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Ryan Benoit,45,0,0,0,Flyweight,KO/TKO  Kick,3,2:38,Ryan Benoit vs. Ashkan Mokhtarian,6,Ashkan Mokhtarian,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Nik Lentz,34,0,1,1,Lightweight,SUB  Guillotine Choke,2,2:05,Nik Lentz vs. Will Brooks,7,Will Brooks,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Will Brooks,49,2,1,0,Lightweight,SUB  Guillotine Choke,2,2:05,Nik Lentz vs. Will Brooks,7,Nik Lentz,2017-11-18,UFC Fight Night: Werdum vs. Tybura
