WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
loss,Rashad Coulter,10,0,0,1,Heavyweight,KO/TKO  Flying Knee,1,4:35,Tai Tuivasa vs. Rashad Coulter,8,Tai Tuivasa,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Tai Tuivasa,22,0,0,0,Heavyweight,KO/TKO  Flying Knee,1,4:35,Tai Tuivasa vs. Rashad Coulter,8,Rashad Coulter,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Damien Brown,104,2,1,1,Lightweight,S-DEC,3,5:00,Frank Camacho vs. Damien Brown,9,Frank Camacho,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Frank Camacho,154,1,0,1,Lightweight,S-DEC,3,5:00,Frank Camacho vs. Damien Brown,9,Damien Brown,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Alex Chambers,45,4,0,4,Women's Strawweight,U-DEC,3,5:00,Nadia Kassem vs. Alex Chambers,10,Nadia Kassem,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Nadia Kassem,52,0,6,1,Women's Strawweight,U-DEC,3,5:00,Nadia Kassem vs. Alex Chambers,10,Alex Chambers,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Jenel Lausa,5,1,2,0,Flyweight,U-DEC,3,5:00,Eric Shelton vs. Jenel Lausa,11,Eric Shelton,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Eric Shelton,86,5,0,4,Flyweight,U-DEC,3,5:00,Eric Shelton vs. Jenel Lausa,11,Jenel Lausa,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Adam Wieczorek,42,0,0,1,Heavyweight,U-DEC,3,5:00,Adam Wieczorek vs. Anthony Hamilton,12,Anthony Hamilton,2017-11-18,UFC Fight Night: Werdum vs. Tybura
loss,Anthony Hamilton,32,2,0,5,Heavyweight,U-DEC,3,5:00,Adam Wieczorek vs. Anthony Hamilton,12,Adam Wieczorek,2017-11-18,UFC Fight Night: Werdum vs. Tybura
win,Dustin Poirier,53,5,0,3,Lightweight,KO/TKO,3,2:08,Dustin Poirier vs. Anthony Pettis,0,Anthony Pettis,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Anthony Pettis,34,1,4,2,Lightweight,KO/TKO,3,2:08,Dustin Poirier vs. Anthony Pettis,0,Dustin Poirier,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Matt Brown,18,0,0,0,Welterweight,KO/TKO  Elbow,1,3:44,Matt Brown vs. Diego Sanchez,1,Diego Sanchez,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Diego Sanchez,12,0,0,0,Welterweight,KO/TKO  Elbow,1,3:44,Matt Brown vs. Diego Sanchez,1,Matt Brown,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Andrei Arlovski,92,0,0,0,Heavyweight,U-DEC,3,5:00,Andrei Arlovski vs. Junior Albini,2,Junior Albini,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Junior Albini,48,0,0,0,Heavyweight,U-DEC,3,5:00,Andrei Arlovski vs. Junior Albini,2,Andrei Arlovski,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Cezar Ferreira,47,2,0,1,Middleweight,S-DEC,3,5:00,Cezar Ferreira vs. Nate Marquardt,3,Nate Marquardt,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Nate Marquardt,36,0,0,0,Middleweight,S-DEC,3,5:00,Cezar Ferreira vs. Nate Marquardt,3,Cezar Ferreira,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Raphael Assuncao,46,0,0,0,Bantamweight,KO/TKO  Punch,3,1:50,Raphael Assuncao vs. Matthew Lopez,4,Matthew Lopez,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Matthew Lopez,34,1,0,0,Bantamweight,KO/TKO  Punch,3,1:50,Raphael Assuncao vs. Matthew Lopez,4,Raphael Assuncao,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Clay Guida,24,0,0,0,Lightweight,KO/TKO  Punch,1,1:07,Clay Guida vs. Joe Lauzon,5,Joe Lauzon,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Joe Lauzon,1,0,0,0,Lightweight,KO/TKO  Punch,1,1:07,Clay Guida vs. Joe Lauzon,5,Clay Guida,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,John Dodson,43,2,0,0,Bantamweight,S-DEC,3,5:00,Marlon Moraes vs. John Dodson,6,Marlon Moraes,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Marlon Moraes,45,1,1,0,Bantamweight,S-DEC,3,5:00,Marlon Moraes vs. John Dodson,6,John Dodson,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Tatiana Suarez,71,4,0,13,Women's Strawweight,U-DEC,3,5:00,Tatiana Suarez vs. Viviane Pereira,7,Viviane Pereira,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Viviane Pereira,13,0,1,0,Women's Strawweight,U-DEC,3,5:00,Tatiana Suarez vs. Viviane Pereira,7,Tatiana Suarez,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Michel Quinones,55,0,0,0,Lightweight,U-DEC,3,5:00,Sage Northcutt vs. Michel Quinones,8,Sage Northcutt,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Sage Northcutt,79,3,0,1,Lightweight,U-DEC,3,5:00,Sage Northcutt vs. Michel Quinones,8,Michel Quinones,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Angela Hill,107,0,0,0,Women's Strawweight,U-DEC,3,5:00,Nina Ansaroff vs. Angela Hill,9,Nina Ansaroff,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Nina Ansaroff,143,0,0,0,Women's Strawweight,U-DEC,3,5:00,Nina Ansaroff vs. Angela Hill,9,Angela Hill,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Court McGee,62,0,0,0,Welterweight,U-DEC,3,5:00,Sean Strickland vs. Court McGee,10,Sean Strickland,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Sean Strickland,78,3,1,3,Welterweight,U-DEC,3,5:00,Sean Strickland vs. Court McGee,10,Court McGee,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Marcel Fortuna,59,1,1,3,Light Heavyweight,U-DEC,3,5:00,Jake Collier vs. Marcel Fortuna,11,Jake Collier,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Jake Collier,94,0,0,0,Light Heavyweight,U-DEC,3,5:00,Jake Collier vs. Marcel Fortuna,11,Marcel Fortuna,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Karl Roberson,17,1,2,1,Middleweight,SUB  Rear Naked Choke,1,3:41,Karl Roberson vs. Darren Stewart,12,Darren Stewart,2017-11-11,UFC Fight Night: Poirier vs. Pettis
loss,Darren Stewart,6,0,0,0,Middleweight,SUB  Rear Naked Choke,1,3:41,Karl Roberson vs. Darren Stewart,12,Karl Roberson,2017-11-11,UFC Fight Night: Poirier vs. Pettis
win,Georges St-Pierre,59,3,1,2,Middleweight,SUB  Rear Naked Choke,3,4:23,Georges St-Pierre vs. Michael Bisping,0,Michael Bisping,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Michael Bisping,27,0,0,0,Middleweight,SUB  Rear Naked Choke,3,4:23,Georges St-Pierre vs. Michael Bisping,0,Georges St-Pierre,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,TJ Dillashaw,20,0,0,0,Bantamweight,KO/TKO  Punch,2,2:41,TJ Dillashaw vs. Cody Garbrandt,1,Cody Garbrandt,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Cody Garbrandt,18,0,0,0,Bantamweight,KO/TKO  Punch,2,2:41,TJ Dillashaw vs. Cody Garbrandt,1,TJ Dillashaw,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Rose Namajunas,15,0,0,0,Women's Strawweight,KO/TKO  Punch,1,3:03,Rose Namajunas vs. Joanna Jedrzejczyk,2,Joanna Jedrzejczyk,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Joanna Jedrzejczyk,5,0,0,0,Women's Strawweight,KO/TKO  Punch,1,3:03,Rose Namajunas vs. Joanna Jedrzejczyk,2,Rose Namajunas,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Stephen Thompson,70,0,0,0,Welterweight,U-DEC,3,5:00,Stephen Thompson vs. Jorge Masvidal,3,Jorge Masvidal,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Jorge Masvidal,42,0,0,0,Welterweight,U-DEC,3,5:00,Stephen Thompson vs. Jorge Masvidal,3,Stephen Thompson,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Paulo Costa,49,0,0,0,Middleweight,KO/TKO  Punches,2,1:23,Paulo Costa vs. Johny Hendricks,4,Johny Hendricks,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Johny Hendricks,27,0,0,0,Middleweight,KO/TKO  Punches,2,1:23,Paulo Costa vs. Johny Hendricks,4,Paulo Costa,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,James Vick,42,0,0,0,Lightweight,KO/TKO  Punch,2,4:59,James Vick vs. Joe Duffy,5,Joe Duffy,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Joe Duffy,25,2,0,0,Lightweight,KO/TKO  Punch,2,4:59,James Vick vs. Joe Duffy,5,James Vick,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Mark Godbeer,3,0,0,0,Heavyweight,DQ,1,4:29,Mark Godbeer vs. Walt Harris,6,Walt Harris,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Walt Harris,21,1,0,3,Heavyweight,DQ,1,4:29,Mark Godbeer vs. Walt Harris,6,Mark Godbeer,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Ovince Saint Preux,23,0,0,0,Light Heavyweight,KO/TKO  Kick,3,1:25,Ovince Saint Preux vs. Corey Anderson,7,Corey Anderson,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Corey Anderson,30,4,0,0,Light Heavyweight,KO/TKO  Kick,3,1:25,Ovince Saint Preux vs. Corey Anderson,7,Ovince Saint Preux,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Mickey Gall,7,0,2,4,Welterweight,U-DEC,3,5:00,Randy Brown vs. Mickey Gall,8,Randy Brown,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Randy Brown,41,1,0,2,Welterweight,U-DEC,3,5:00,Randy Brown vs. Mickey Gall,8,Mickey Gall,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Aleksei Oleinik,34,0,0,0,Heavyweight,KO/TKO,2,1:39,Curtis Blaydes vs. Aleksei Oleinik,9,Curtis Blaydes,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Curtis Blaydes,39,4,0,1,Heavyweight,KO/TKO,2,1:39,Curtis Blaydes vs. Aleksei Oleinik,9,Aleksei Oleinik,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Ricardo Ramos,42,3,0,1,Bantamweight,KO/TKO  Elbow,3,1:58,Ricardo Ramos vs. Aiemann Zahabi,10,Aiemann Zahabi,2017-11-04,UFC 217: Bisping vs. St-Pierre
loss,Aiemann Zahabi,46,0,0,0,Bantamweight,KO/TKO  Elbow,3,1:58,Ricardo Ramos vs. Aiemann Zahabi,10,Ricardo Ramos,2017-11-04,UFC 217: Bisping vs. St-Pierre
win,Derek Brunson,10,0,0,0,Middleweight,KO/TKO  Punch,1,2:30,Derek Brunson vs. Lyoto Machida,0,Lyoto Machida,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Lyoto Machida,3,0,0,0,Middleweight,KO/TKO  Punch,1,2:30,Derek Brunson vs. Lyoto Machida,0,Derek Brunson,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Colby Covington,88,0,0,0,Welterweight,U-DEC,3,5:00,Colby Covington vs. Demian Maia,1,Demian Maia,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Demian Maia,53,0,0,0,Welterweight,U-DEC,3,5:00,Colby Covington vs. Demian Maia,1,Colby Covington,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Pedro Munhoz,20,0,1,1,Bantamweight,SUB  Guillotine Choke,1,4:03,Pedro Munhoz vs. Rob Font,2,Rob Font,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Rob Font,30,0,0,0,Bantamweight,SUB  Guillotine Choke,1,4:03,Pedro Munhoz vs. Rob Font,2,Pedro Munhoz,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Francisco Trinaldo,63,1,0,2,Lightweight,U-DEC,3,5:00,Francisco Trinaldo vs. Jim Miller,3,Jim Miller,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Jim Miller,34,1,0,0,Lightweight,U-DEC,3,5:00,Francisco Trinaldo vs. Jim Miller,3,Francisco Trinaldo,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Thiago Santos,28,0,0,0,Middleweight,KO/TKO  Punch,1,4:59,Thiago Santos vs. Jack Hermansson,4,Jack Hermansson,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Jack Hermansson,5,0,0,0,Middleweight,KO/TKO  Punch,1,4:59,Thiago Santos vs. Jack Hermansson,4,Thiago Santos,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Marlon Vera,49,0,0,0,Bantamweight,U-DEC,3,5:00,John Lineker vs. Marlon Vera,5,John Lineker,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,John Lineker,77,0,0,0,Bantamweight,U-DEC,3,5:00,John Lineker vs. Marlon Vera,5,Marlon Vera,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Niko Price,25,0,0,0,Welterweight,SUB  D'Arce Choke,2,4:08,Vicente Luque vs. Niko Price,6,Vicente Luque,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Vicente Luque,61,0,1,0,Welterweight,SUB  D'Arce Choke,2,4:08,Vicente Luque vs. Niko Price,6,Niko Price,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Jack Marshman,1,0,0,0,Middleweight,SUB  Rear Naked Choke,1,4:30,Antonio Carlos Junior vs. Jack Marshman,7,Antonio Carlos Junior,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Antonio Carlos Junior,11,1,1,3,Middleweight,SUB  Rear Naked Choke,1,4:30,Antonio Carlos Junior vs. Jack Marshman,7,Jack Marshman,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Hacran Dias,32,0,1,0,Lightweight,U-DEC,3,5:00,Jared Gordon vs. Hacran Dias,8,Jared Gordon,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Jared Gordon,101,2,0,4,Lightweight,U-DEC,3,5:00,Jared Gordon vs. Hacran Dias,8,Hacran Dias,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Max Griffin,51,0,0,0,Welterweight,U-DEC,3,5:00,Elizeu Zaleski dos Santos vs. Max Griffin,9,Elizeu Zaleski dos Santos,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Elizeu Zaleski dos Santos,84,0,0,1,Welterweight,U-DEC,3,5:00,Elizeu Zaleski dos Santos vs. Max Griffin,9,Max Griffin,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Jarred Brooks,30,7,0,0,Flyweight,S-DEC,3,5:00,Deiveson Figueiredo vs. Jarred Brooks,10,Deiveson Figueiredo,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Deiveson Figueiredo,19,1,5,0,Flyweight,S-DEC,3,5:00,Deiveson Figueiredo vs. Jarred Brooks,10,Jarred Brooks,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Marcelo Golm,35,1,1,2,Heavyweight,SUB  Rear Naked Choke,1,2:08,Marcelo Golm vs. Christian Colombo,11,Christian Colombo,2017-10-28,UFC Fight Night: Brunson vs. Machida
loss,Christian Colombo,2,0,0,0,Heavyweight,SUB  Rear Naked Choke,1,2:08,Marcelo Golm vs. Christian Colombo,11,Marcelo Golm,2017-10-28,UFC Fight Night: Brunson vs. Machida
win,Darren Till,24,0,0,0,Welterweight,KO/TKO  Punch,1,4:20,Darren Till vs. Donald Cerrone,0,Donald Cerrone,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Donald Cerrone,14,1,0,0,Welterweight,KO/TKO  Punch,1,4:20,Darren Till vs. Donald Cerrone,0,Darren Till,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Karolina Kowalkiewicz,127,1,0,1,Women's Strawweight,U-DEC,3,5:00,Karolina Kowalkiewicz vs. Jodie Esquibel,1,Jodie Esquibel,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Jodie Esquibel,65,0,0,0,Women's Strawweight,U-DEC,3,5:00,Karolina Kowalkiewicz vs. Jodie Esquibel,1,Karolina Kowalkiewicz,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Jan Blachowicz,33,1,1,1,Light Heavyweight,SUB  Rear Naked Choke,2,3:02,Jan Blachowicz vs. Devin Clark,2,Devin Clark,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Devin Clark,15,0,0,0,Light Heavyweight,SUB  Rear Naked Choke,2,3:02,Jan Blachowicz vs. Devin Clark,2,Jan Blachowicz,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Oskar Piechota,56,1,3,3,Middleweight,U-DEC,3,5:00,Oskar Piechota vs. Jonathan Wilson,3,Jonathan Wilson,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Jonathan Wilson,17,0,0,0,Middleweight,U-DEC,3,5:00,Oskar Piechota vs. Jonathan Wilson,3,Oskar Piechota,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Marcin Held,19,3,1,3,Lightweight,U-DEC,3,5:00,Marcin Held vs. Nasrat Haqparast,4,Nasrat Haqparast,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Nasrat Haqparast,27,1,0,1,Lightweight,U-DEC,3,5:00,Marcin Held vs. Nasrat Haqparast,4,Marcin Held,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Brian Kelleher,79,1,1,3,Bantamweight,KO/TKO  Punch,3,3:39,Brian Kelleher vs. Damian Stasiak,5,Damian Stasiak,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Damian Stasiak,43,1,0,0,Bantamweight,KO/TKO  Punch,3,3:39,Brian Kelleher vs. Damian Stasiak,5,Brian Kelleher,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Ramazan Emeev,38,1,0,0,Middleweight,U-DEC,3,5:00,Ramazan Emeev vs. Sam Alvey,6,Sam Alvey,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Sam Alvey,29,0,0,0,Middleweight,U-DEC,3,5:00,Ramazan Emeev vs. Sam Alvey,6,Ramazan Emeev,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Andre Fili,55,5,0,3,Featherweight,U-DEC,3,5:00,Andre Fili vs. Artem Lobov,7,Artem Lobov,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Artem Lobov,55,0,0,0,Featherweight,U-DEC,3,5:00,Andre Fili vs. Artem Lobov,7,Andre Fili,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Salim Touahri,35,0,0,0,Welterweight,U-DEC,3,5:00,Warlley Alves vs. Salim Touahri,8,Warlley Alves,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Warlley Alves,38,2,0,0,Welterweight,U-DEC,3,5:00,Warlley Alves vs. Salim Touahri,8,Salim Touahri,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Lina Lansberg,41,0,0,0,Women's Bantamweight,KO/TKO  Punches,2,2:33,Aspen Ladd vs. Lina Lansberg,9,Aspen Ladd,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Aspen Ladd,26,1,0,2,Women's Bantamweight,KO/TKO  Punches,2,2:33,Aspen Ladd vs. Lina Lansberg,9,Lina Lansberg,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Josh Emmett,67,1,0,1,Featherweight,U-DEC,3,5:00,Josh Emmett vs. Felipe Arantes,10,Felipe Arantes,2017-10-21,UFC Fight Night: Cerrone vs. Till
loss,Felipe Arantes,43,0,0,0,Featherweight,U-DEC,3,5:00,Josh Emmett vs. Felipe Arantes,10,Josh Emmett,2017-10-21,UFC Fight Night: Cerrone vs. Till
win,Tony Ferguson,54,0,2,0,Lightweight,SUB  Triangle Choke,3,4:02,Tony Ferguson vs. Kevin Lee,0,Kevin Lee,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Kevin Lee,55,3,0,2,Lightweight,SUB  Triangle Choke,3,4:02,Tony Ferguson vs. Kevin Lee,0,Tony Ferguson,2017-10-07,UFC 216: Ferguson vs. Lee
win,Demetrious Johnson,64,8,2,19,Flyweight,SUB  Armbar,5,3:15,Demetrious Johnson vs. Ray Borg,1,Ray Borg,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Ray Borg,13,3,0,1,Flyweight,SUB  Armbar,5,3:15,Demetrious Johnson vs. Ray Borg,1,Demetrious Johnson,2017-10-07,UFC 216: Ferguson vs. Lee
win,Fabricio Werdum,0,1,1,2,Heavyweight,SUB  Armbar,1,1:05,Fabricio Werdum vs. Walt Harris,2,Walt Harris,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Walt Harris,0,0,0,0,Heavyweight,SUB  Armbar,1,1:05,Fabricio Werdum vs. Walt Harris,2,Fabricio Werdum,2017-10-07,UFC 216: Ferguson vs. Lee
win,Mara Romero Borella,3,1,1,3,Women's Flyweight,SUB  Rear Naked Choke,1,2:54,Mara Romero Borella vs. Kalindra Faria,3,Kalindra Faria,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Kalindra Faria,0,0,0,0,Women's Flyweight,SUB  Rear Naked Choke,1,2:54,Mara Romero Borella vs. Kalindra Faria,3,Mara Romero Borella,2017-10-07,UFC 216: Ferguson vs. Lee
draw  draw,Beneil Dariush,81,0,0,2,Lightweight,M-DEC,3,5:00,Beneil Dariush vs. Evan Dunham,4,Evan Dunham,2017-10-07,UFC 216: Ferguson vs. Lee
draw  draw,Evan Dunham,36,1,0,0,Lightweight,M-DEC,3,5:00,Beneil Dariush vs. Evan Dunham,4,Beneil Dariush,2017-10-07,UFC 216: Ferguson vs. Lee
win,Cody Stamann,66,4,0,2,Bantamweight,S-DEC,3,5:00,Cody Stamann vs. Tom Duquesnoy,5,Tom Duquesnoy,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Tom Duquesnoy,33,1,0,1,Bantamweight,S-DEC,3,5:00,Cody Stamann vs. Tom Duquesnoy,5,Cody Stamann,2017-10-07,UFC 216: Ferguson vs. Lee
draw  draw,Lando Vannata,104,4,1,1,Lightweight,S-DEC,3,5:00,Lando Vannata vs. Bobby Green,6,Bobby Green,2017-10-07,UFC 216: Ferguson vs. Lee
draw  draw,Bobby Green,93,1,0,0,Lightweight,S-DEC,3,5:00,Lando Vannata vs. Bobby Green,6,Lando Vannata,2017-10-07,UFC 216: Ferguson vs. Lee
win,Poliana Botelho,67,1,0,0,Women's Strawweight,U-DEC,3,5:00,Poliana Botelho vs. Pearl Gonzalez,7,Pearl Gonzalez,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Pearl Gonzalez,27,0,0,0,Women's Strawweight,U-DEC,3,5:00,Poliana Botelho vs. Pearl Gonzalez,7,Poliana Botelho,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Marco Beltran,34,1,0,0,Flyweight,U-DEC,3,5:00,Matt Schnell vs. Marco Beltran,8,Matt Schnell,2017-10-07,UFC 216: Ferguson vs. Lee
win,Matt Schnell,38,0,1,0,Flyweight,U-DEC,3,5:00,Matt Schnell vs. Marco Beltran,8,Marco Beltran,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Magomed Bibulatov,5,0,0,0,Flyweight,KO/TKO  Punch,1,1:38,John Moraga vs. Magomed Bibulatov,9,John Moraga,2017-10-07,UFC 216: Ferguson vs. Lee
win,John Moraga,8,0,0,0,Flyweight,KO/TKO  Punch,1,1:38,John Moraga vs. Magomed Bibulatov,9,Magomed Bibulatov,2017-10-07,UFC 216: Ferguson vs. Lee
win,Brad Tavares,70,0,0,0,Middleweight,U-DEC,3,5:00,Brad Tavares vs. Thales Leites,10,Thales Leites,2017-10-07,UFC 216: Ferguson vs. Lee
loss,Thales Leites,46,0,0,0,Middleweight,U-DEC,3,5:00,Brad Tavares vs. Thales Leites,10,Brad Tavares,2017-10-07,UFC 216: Ferguson vs. Lee
win,Ovince Saint Preux,0,0,1,3,Light Heavyweight,SUB  Other - Choke,1,1:50,Ovince Saint Preux vs. Yushin Okami,0,Yushin Okami,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Yushin Okami,0,0,1,0,Light Heavyweight,SUB  Other - Choke,1,1:50,Ovince Saint Preux vs. Yushin Okami,0,Ovince Saint Preux,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
win,Jessica Andrade,141,4,0,5,Women's Strawweight,U-DEC,3,5:00,Jessica Andrade vs. Claudia Gadelha,1,Claudia Gadelha,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Claudia Gadelha,42,0,2,0,Women's Strawweight,U-DEC,3,5:00,Jessica Andrade vs. Claudia Gadelha,1,Jessica Andrade,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
win,Dong Hyun Kim,13,0,0,0,Lightweight,KO/TKO  Punch,1,1:30,Dong Hyun Kim vs. Takanori Gomi,2,Takanori Gomi,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Takanori Gomi,2,0,0,0,Lightweight,KO/TKO  Punch,1,1:30,Dong Hyun Kim vs. Takanori Gomi,2,Dong Hyun Kim,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
win,Gokhan Saki,40,0,0,0,Light Heavyweight,KO/TKO  Punch,1,4:45,Gokhan Saki vs. Henrique da Silva,3,Henrique da Silva,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Henrique da Silva,20,0,0,0,Light Heavyweight,KO/TKO  Punch,1,4:45,Gokhan Saki vs. Henrique da Silva,3,Gokhan Saki,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
win,Teruto Ishihara,50,2,0,2,Featherweight,U-DEC,3,5:00,Teruto Ishihara vs. Rolando Dy,4,Rolando Dy,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Rolando Dy,48,0,0,0,Featherweight,U-DEC,3,5:00,Teruto Ishihara vs. Rolando Dy,4,Teruto Ishihara,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
win,Jussier Formiga,9,1,2,4,Flyweight,SUB  Rear Naked Choke,1,4:30,Jussier Formiga vs. Ulka Sasaki,5,Ulka Sasaki,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Ulka Sasaki,16,0,0,0,Flyweight,SUB  Rear Naked Choke,1,4:30,Jussier Formiga vs. Ulka Sasaki,5,Jussier Formiga,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
win,Keita Nakamura,27,2,0,2,Welterweight,S-DEC,3,5:00,Keita Nakamura vs. Alex Morono,6,Alex Morono,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Alex Morono,38,0,0,0,Welterweight,S-DEC,3,5:00,Keita Nakamura vs. Alex Morono,6,Keita Nakamura,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
loss,Chanmi Jeon,95,0,0,0,Women's Strawweight,S-DEC,3,5:00,Syuri Kondo vs. Chanmi Jeon,7,Syuri Kondo,2017-09-22,UFC Fight Night: Saint Preux vs. Okami
